Email,Stock Ticker,Period,Average Price,Highest Price,Lowest Price,Percentage Change (%)
glinda,1155.KL,5d,10.176000213623047,10.220000267028809,10.140000343322754,-0.39292692194410156
eilli,6033.KL,5d,17.84800033569336,17.860000610351562,17.799999237060547,-0.3359539263186763
glinda,6033.KL,1mo,17.733333315168107,17.860000610351562,17.5,1.1337912123558134
